fc_MPa,fy_MPa,Beam_Area_m2,Col_Area_m2,No_of_bay_X,No_of_bay_Y,No_of_bay_Z,Plinth_Area_m2,Aspect Ratio,Reinforcement Ratio
15,415,0.07475,0.0529,5,2,2,93.6,3.46154,0.0085518
15,415,0.07475,0.0529,5,2,2,93.6,3.46154,0.0085518
15,415,0.07475,0.0529,5,2,2,93.6,3.46154,0.0085518
15,415,0.07475,0.0529,5,2,2,93.6,3.46154,0.0085518
15,415,0.07475,0.0529,5,2,2,93.6,3.46154,0.0085518
15,415,0.07475,0.0529,5,2,2,93.6,3.46154,0.0085518
15,415,0.07475,0.0529,5,2,2,93.6,3.46154,0.0085518
15,415,0.07475,0.0529,5,2,2,93.6,3.46154,0.0085518
15,415,0.07475,0.0529,5,2,2,93.6,3.46154,0.0085518
15,415,0.07475,0.0529,5,2,2,93.6,3.46154,0.0085518
15,415,0.07475,0.0529,5,2,2,93.6,3.46154,0.0085518
15,415,0.07475,0.0529,5,2,2,93.6,3.46154,0.0085518
15,415,0.07475,0.0529,5,2,2,93.6,3.46154,0.0085518
15,415,0.07475,0.0529,5,2,2,93.6,3.46154,0.0085518
15,415,0.07475,0.0529,5,2,2,93.6,3.46154,0.0085518
15,415,0.07475,0.0529,5,2,2,93.6,3.46154,0.0085518
15,415,0.07475,0.0529,5,2,2,93.6,3.46154,0.0085518
15,415,0.07475,0.0529,5,2,2,93.6,3.46154,0.0085518
15,415,0.07475,0.0529,5,2,2,93.6,3.46154,0.0085518
15,415,0.07475,0.0529,5,2,2,93.6,3.46154,0.0085518
15,415,0.07475,0.0529,5,2,2,93.6,3.46154,0.0085518
15,415,0.07475,0.0529,5,2,2,93.6,3.46154,0.0085518
15,415,0.07475,0.0529,5,2,2,93.6,3.46154,0.0085518
15,415,0.07475,0.0529,5,2,2,93.6,3.46154,0.0085518
15,415,0.07475,0.0529,5,2,2,93.6,3.46154,0.0085518
15,415,0.07475,0.0529,5,2,2,93.6,3.46154,0.0085518
15,415,0.07475,0.0529,5,2,2,93.6,3.46154,0.0085518
15,415,0.07475,0.0529,5,2,2,93.6,3.46154,0.0085518
15,415,0.07475,0.0529,5,2,2,93.6,3.46154,0.0085518
15,415,0.07475,0.0529,5,2,2,93.6,3.46154,0.0085518
15,415,0.07475,0.0529,5,2,2,93.6,3.46154,0.0085518
15,415,0.07475,0.0529,5,2,2,93.6,3.46154,0.0085518
15,415,0.07475,0.0529,5,2,2,93.6,3.46154,0.0085518
15,415,0.07475,0.0529,5,2,2,93.6,3.46154,0.0085518
15,415,0.07475,0.0529,5,2,2,93.6,3.46154,0.0085518
15,415,0.07475,0.0529,5,2,2,93.6,3.46154,0.0085518
15,415,0.07475,0.0529,5,2,2,93.6,3.46154,0.0085518
15,415,0.07475,0.0529,5,2,2,93.6,3.46154,0.0085518
15,415,0.07475,0.0529,5,2,2,93.6,3.46154,0.0085518
15,415,0.07475,0.0529,5,2,2,93.6,3.46154,0.0085518
15,415,0.07475,0.0529,5,2,2,93.6,3.46154,0.0085518
15,415,0.07475,0.0529,5,2,2,93.6,3.46154,0.0085518
15,415,0.07475,0.0529,5,2,2,93.6,3.46154,0.0085518
15,415,0.07475,0.0529,5,2,2,93.6,3.46154,0.0085518
15,415,0.07475,0.0529,5,2,2,93.6,3.46154,0.0085518
15,415,0.07475,0.0529,5,2,2,93.6,3.46154,0.0085518
15,415,0.07475,0.0529,5,2,2,93.6,3.46154,0.0085518
15,415,0.07475,0.0529,5,2,2,93.6,3.46154,0.0085518
15,415,0.07475,0.0529,5,2,2,93.6,3.46154,0.0085518
15,415,0.07475,0.0529,5,2,2,93.6,3.46154,0.0085518
15,415,0.07475,0.0529,5,2,2,93.6,3.46154,0.0085518
15,415,0.07475,0.0529,5,2,2,93.6,3.46154,0.0085518
15,415,0.07475,0.0529,5,2,2,93.6,3.46154,0.0085518
15,415,0.07475,0.0529,5,2,2,93.6,3.46154,0.0085518
15,415,0.07475,0.0529,5,2,2,67.6,2.5,0.0085518
15,415,0.07475,0.0529,5,2,2,67.6,2.5,0.0085518
15,415,0.07475,0.0529,5,2,2,67.6,2.5,0.0085518
15,415,0.07475,0.0529,5,2,2,67.6,2.5,0.0085518
15,415,0.07475,0.0529,5,2,2,67.6,2.5,0.0085518
15,415,0.07475,0.0529,5,2,2,67.6,2.5,0.0085518
15,415,0.07475,0.0529,5,2,2,67.6,2.5,0.0085518
15,415,0.07475,0.0529,5,2,2,67.6,2.5,0.0085518
15,415,0.07475,0.0529,5,2,2,67.6,2.5,0.0085518
15,415,0.07475,0.0529,5,2,2,67.6,2.5,0.0085518
15,415,0.07475,0.0529,5,2,2,67.6,2.5,0.0085518
15,415,0.07475,0.0529,5,2,2,67.6,2.5,0.0085518
15,415,0.07475,0.0529,5,2,2,67.6,2.5,0.0085518
15,415,0.07475,0.0529,5,2,2,67.6,2.5,0.0085518
15,415,0.07475,0.0529,5,2,2,67.6,2.5,0.0085518
15,415,0.07475,0.0529,5,2,2,67.6,2.5,0.0085518
15,415,0.07475,0.0529,5,2,2,67.6,2.5,0.0085518
15,415,0.07475,0.0529,5,2,2,67.6,2.5,0.0085518
15,415,0.07475,0.0529,5,2,2,67.6,2.5,0.0085518
15,415,0.07475,0.0529,5,2,2,67.6,2.5,0.0085518
15,415,0.07475,0.0529,5,2,2,67.6,2.5,0.0085518
15,415,0.07475,0.0529,5,2,2,67.6,2.5,0.0085518
15,415,0.07475,0.0529,5,2,2,67.6,2.5,0.0085518
15,415,0.07475,0.0529,5,2,2,67.6,2.5,0.0085518
15,415,0.07475,0.0529,5,2,2,67.6,2.5,0.0085518
15,415,0.07475,0.0529,5,2,2,67.6,2.5,0.0085518
15,415,0.07475,0.0529,5,2,2,67.6,2.5,0.0085518
15,415,0.07475,0.0529,5,2,2,67.6,2.5,0.0085518
15,415,0.07475,0.0529,5,2,2,67.6,2.5,0.0085518
15,415,0.07475,0.0529,5,2,2,67.6,2.5,0.0085518
15,415,0.07475,0.0529,5,2,2,67.6,2.5,0.0085518
15,415,0.07475,0.0529,5,2,2,67.6,2.5,0.0085518
15,415,0.07475,0.0529,5,2,2,67.6,2.5,0.0085518
15,415,0.07475,0.0529,5,2,2,67.6,2.5,0.0085518
15,415,0.07475,0.0529,5,2,2,67.6,2.5,0.0085518
15,415,0.07475,0.0529,5,2,2,67.6,2.5,0.0085518
15,415,0.07475,0.0529,5,2,2,67.6,2.5,0.0085518
15,415,0.07475,0.0529,5,2,2,67.6,2.5,0.0085518
15,415,0.07475,0.0529,5,2,2,67.6,2.5,0.0085518
15,415,0.07475,0.0529,5,2,2,67.6,2.5,0.0085518
15,415,0.07475,0.0529,5,2,2,67.6,2.5,0.0085518
15,415,0.07475,0.0529,5,2,2,67.6,2.5,0.0085518
15,415,0.07475,0.0529,5,2,2,67.6,2.5,0.0085518
15,415,0.07475,0.0529,5,2,2,67.6,2.5,0.0085518
15,415,0.07475,0.0529,5,2,2,67.6,2.5,0.0085518
15,415,0.07475,0.0529,5,2,2,67.6,2.5,0.0085518
15,415,0.07475,0.0529,5,2,2,67.6,2.5,0.0085518
15,415,0.07475,0.0529,5,2,2,67.6,2.5,0.0085518
15,415,0.07475,0.0529,5,2,2,67.6,2.5,0.0085518
15,415,0.07475,0.0529,5,2,2,67.6,2.5,0.0085518
15,415,0.07475,0.0529,5,2,2,67.6,2.5,0.0085518
15,415,0.07475,0.0529,5,2,2,67.6,2.5,0.0085518
15,415,0.07475,0.0529,5,2,2,67.6,2.5,0.0085518
15,415,0.07475,0.0529,5,2,2,67.6,2.5,0.0085518
15,415,0.07475,0.0529,5,2,2,67.6,2.5,0.0085518
15,415,0.07475,0.0529,5,2,2,67.6,2.5,0.0085518
15,415,0.07475,0.0529,5,2,2,67.6,2.5,0.0085518
15,415,0.07475,0.0529,5,2,2,67.6,2.5,0.0085518
15,415,0.07475,0.0529,5,2,2,67.6,2.5,0.0085518
15,415,0.07475,0.0529,5,2,2,67.6,2.5,0.0085518
15,415,0.07475,0.0529,5,2,2,67.6,2.5,0.0085518
15,415,0.07475,0.0529,5,2,2,67.6,2.5,0.0085518
15,415,0.07475,0.0529,5,2,2,67.6,2.5,0.0085518
15,415,0.07475,0.0529,5,2,2,67.6,2.5,0.0085518
15,415,0.07475,0.0529,5,2,2,67.6,2.5,0.0085518
15,415,0.07475,0.0529,5,2,2,67.6,2.5,0.0085518
15,415,0.07475,0.0529,5,2,2,67.6,2.5,0.0085518
15,415,0.07475,0.0529,5,2,2,67.6,2.5,0.0085518
15,415,0.07475,0.0529,5,2,2,67.6,2.5,0.0085518
15,415,0.07475,0.0529,5,2,2,67.6,2.5,0.0085518
15,415,0.07475,0.0529,5,2,2,67.6,2.5,0.0085518
15,415,0.07475,0.0529,5,2,2,67.6,2.5,0.0085518
15,415,0.07475,0.0529,5,2,2,67.6,2.5,0.0085518
15,415,0.07475,0.0529,5,2,2,67.6,2.5,0.0085518
15,415,0.07475,0.0529,5,2,2,67.6,2.5,0.0085518
15,415,0.07475,0.0529,5,2,2,67.6,2.5,0.0085518
15,415,0.07475,0.0529,5,2,2,67.6,2.5,0.0085518
15,415,0.07475,0.0529,5,2,2,67.6,2.5,0.0085518
15,415,0.07475,0.0529,5,2,2,67.6,2.5,0.0085518
15,415,0.07475,0.0529,5,2,2,67.6,2.5,0.0085518
15,415,0.07475,0.0529,5,2,2,67.6,2.5,0.0085518
15,415,0.07475,0.0529,5,2,2,67.6,2.5,0.0085518
15,415,0.07475,0.0529,5,2,2,67.6,2.5,0.0085518
15,415,0.07475,0.0529,5,2,2,67.6,2.5,0.0085518
15,415,0.07475,0.0529,5,2,2,93.6,1.80556,0.0085518
15,415,0.07475,0.0529,5,2,2,93.6,1.80556,0.0085518
15,415,0.07475,0.0529,5,2,2,93.6,1.80556,0.0085518
15,415,0.07475,0.0529,5,2,2,93.6,1.80556,0.0085518
15,415,0.07475,0.0529,5,2,2,93.6,1.80556,0.0085518
15,415,0.07475,0.0529,5,2,2,93.6,1.80556,0.0085518
15,415,0.07475,0.0529,5,2,2,93.6,1.80556,0.0085518
15,415,0.07475,0.0529,5,2,2,93.6,1.80556,0.0085518
15,415,0.07475,0.0529,5,2,2,93.6,1.80556,0.0085518
15,415,0.07475,0.0529,5,2,2,93.6,1.80556,0.0085518
15,415,0.07475,0.0529,5,2,2,93.6,1.80556,0.0085518
15,415,0.07475,0.0529,5,2,2,93.6,1.80556,0.0085518
15,415,0.07475,0.0529,5,2,2,93.6,1.80556,0.0085518
15,415,0.07475,0.0529,5,2,2,93.6,1.80556,0.0085518
15,415,0.07475,0.0529,5,2,2,93.6,1.80556,0.0085518
15,415,0.07475,0.0529,5,2,2,93.6,1.80556,0.0085518
15,415,0.07475,0.0529,5,2,2,93.6,1.80556,0.0085518
15,415,0.07475,0.0529,5,2,2,93.6,1.80556,0.0085518
15,415,0.07475,0.0529,5,2,2,93.6,1.80556,0.0085518
15,415,0.07475,0.0529,5,2,2,93.6,1.80556,0.0085518
15,415,0.07475,0.0529,5,2,2,93.6,1.80556,0.0085518
15,415,0.07475,0.0529,5,2,2,93.6,1.80556,0.0085518
15,415,0.07475,0.0529,5,2,2,93.6,1.80556,0.0085518
15,415,0.07475,0.0529,5,2,2,93.6,1.80556,0.0085518
15,415,0.07475,0.0529,5,2,2,93.6,1.80556,0.0085518
15,415,0.07475,0.0529,5,2,2,93.6,1.80556,0.0085518
15,415,0.07475,0.0529,5,2,2,93.6,1.80556,0.0085518
15,415,0.07475,0.0529,5,2,2,93.6,1.80556,0.0085518
15,415,0.07475,0.0529,5,2,2,93.6,1.80556,0.0085518
15,415,0.07475,0.0529,5,2,2,93.6,1.80556,0.0085518
15,415,0.07475,0.0529,5,2,2,93.6,1.80556,0.0085518
15,415,0.07475,0.0529,5,2,2,93.6,1.80556,0.0085518
15,415,0.07475,0.0529,5,2,2,93.6,1.80556,0.0085518
15,415,0.07475,0.0529,5,2,2,93.6,1.80556,0.0085518
15,415,0.07475,0.0529,5,2,2,93.6,1.80556,0.0085518
15,415,0.07475,0.0529,5,2,2,93.6,1.80556,0.0085518
15,415,0.07475,0.0529,5,2,2,93.6,1.80556,0.0085518
15,415,0.07475,0.0529,5,2,2,93.6,1.80556,0.0085518
15,415,0.07475,0.0529,5,2,2,93.6,1.80556,0.0085518
15,415,0.07475,0.0529,5,2,2,93.6,1.80556,0.0085518
15,415,0.07475,0.0529,5,2,2,93.6,1.80556,0.0085518
15,415,0.07475,0.0529,5,2,2,93.6,1.80556,0.0085518
15,415,0.07475,0.0529,5,2,2,93.6,1.80556,0.0085518
15,415,0.07475,0.0529,5,2,2,93.6,1.80556,0.0085518
15,415,0.07475,0.0529,5,2,2,93.6,1.80556,0.0085518
